,Prd Date,Case Number,road,intersection,number injured,fatal indicator,local codes,Day of Week,Time,"Contributing Factor Primary
",Contributing Factor Secondary,CTV
447,07/19/2022,S8S107FNZLFP,VAN OSTRAND ROAD,,0,N,S22-09233,TUESDAY,23:48,61,77,5556
448,07/20/2022,S8S113FP19JP,ELMIRA ROAD,SEVEN MILE DRIVE,0,N,S22-09263,WEDNESDAY,12:25,09,77,5555
449,07/20/2022,S8S109FP2GZJ,DANBY ROAD,,0,N,S22-09280,WEDNESDAY,21:37,61,77,5555
450,07/20/2022,S8S119FNZMGR,CALKINS ROAD,,0,N,S22-09234,WEDNESDAY,00:22,61,77,5555
451,07/21/2022,S80SAPFP7P0W,AUBURN ROAD,,0,N,S22-09348,THURSDAY,23:31,61,77,5556
452,07/21/2022,S8S105FP53W9,STATE HIGHWAY 13,HANSHAW ROAD,2,N,S22-09325,THURSDAY,16:59,18,77,5552
453,07/22/2022,S81203FP6P17,UNNAMED STREET,,0,N,S22-09362,FRIDAY,04:44,42,99,5558
454,07/23/2022,S8S111FPBZ8P,MECKLENBURG ROAD,SHEFFFIELD ROAD,1,N,S22-09425,SATURDAY,13:05,04,77,5553
455,07/23/2022,S8S109FPCWD7,MAIN ENTRANCE ROAD,,0,N,S22-09445,SATURDAY,19:54,69,77,5558
456,07/24/2022,S8S113FPF6ZH,PERRY CITY ROAD,,0,N,S22-09484,SUNDAY,05:59,61,77,5558
457,07/24/2022,S8S116FPHG1M,ELMIRA ROAD,,0,N,S22-09515,SUNDAY,22:06,64,77,5557
458,07/24/2022,S8S111FPG45D,DUBOIS ROAD,,0,N,S22-09493,SUNDAY,12:36,61,77,5558
459,07/25/2022,S8S113FPJVN9,RAMP,NORTH TRIPHAMMER ROAD,1,N,S22-09529,MONDAY,09:27,07,77,5523
460,07/26/2022,S8S116FPM0G0,STATE HIGHWAY 13,,0,N,S22-09570,TUESDAY,01:07,08,07,5552
461,07/26/2022,S8S119FPM46L,TOWER ROAD,,0,N,S22-09577,TUESDAY,02:20,19,99,5557
462,07/26/2022,S8S115FPNZGL,HALSEYVILLE ROAD,AIKEN ROAD,0,N,S22-09600,TUESDAY,15:39,07,77,5553
463,07/28/2022,S8S108FPVJFP,RIDGE ROAD,,0,N,S22-09679,THURSDAY,09:26,19,77,5556
464,07/28/2022,S8S112FPWP1P,SLATERVILLE ROAD,,0,N,S22-09705,THURSDAY,18:08,26,09,5555
465,07/28/2022,S8S108FPW2K4,UPTOWN ROAD,BURLEIGH DRIVE,0,N,S22-09696,THURSDAY,13:55,19,77,5555
466,07/28/2022,S8S119FPT78H,DANBY ROAD,,0,N,S22-09658,THURSDAY,00:14,61,77,5551
467,07/28/2022,S80K91FPX2MV,DANBY ROAD,,0,N,S22-09711,THURSDAY,21:35,13,77,5551
468,07/29/2022,S8S120FPZDPM,MECKLENBURG ROAD,CONIFER DRIVE,0,N,S22-09727,FRIDAY,07:20,26,77,5555
469,08/01/2022,S8S112FQ9201,STATE HIGHWAY 13,HANSHAW ROAD,0,N,S22-09863,MONDAY,07:41,04,77,5552
470,08/02/2022,S8S110FQF9M3,CATHERWOOD ROAD,N TRIPHAMMER ROAD,1,N,S22-09912,TUESDAY,15:20,09,77,5523
471,08/02/2022,S8S110FQG07T,CAYUGA MALL // 2309 N TRIPHAMM,N TRIPHAMMER ROAD,0,N,S22-09924,TUESDAY,20:32,09,77,5523
472,08/03/2022,S8S113FQK6L6,ELMIRA ROAD,SEVEN MILE DRIVE,0,Y,S22-09979,WEDNESDAY,17:38,14,77,5555
473,08/03/2022,S8S112FQK5GD,PERUVILLE ROAD,,0,N,S22-09986,WEDNESDAY,20:44,61,77,5552
474,08/05/2022,S8S109FQQQ2X,MILLARD HILL ROAD,,0,N,S22-10075,FRIDAY,14:06,13,77,5557
475,08/05/2022,S8S112FQQGJX,PARKING LOT,,0,N,S22-10069,FRIDAY,12:35,04,77,5523
476,08/05/2022,S8S109FQRPSL,DRIVEWAY OF 1472 ELMIRA ROAD,,0,N,S22-10094,FRIDAY,21:37,03,77,5557
477,08/05/2022,S8S110FQRC1G,NORTH TRIPHAMMER ROAD,WATERWAGON RD,0,N,S22-10088,FRIDAY,18:58,07,77,5556
478,08/06/2022,S8S116FQTLXH,LOWER CREEK ROAD,,0,N,S22-10113,SATURDAY,11:54,03,77,5552
479,08/06/2022,S80K91FQV9SZ,SLATERVILLE ROAD,,1,N,S22-10116,SATURDAY,16:54,09,77,5552
480,08/07/2022,S8S107FR0FT7,LOCKERBY HILL ROAD,,0,N,S22-10162,SUNDAY,23:24,60,99,5556
481,08/08/2022,S8S112FR1KHJ,STATE HIGHWAY 222,,0,N,S2210175,MONDAY,08:16,04,77,5554
482,08/09/2022,S8S108FR4XQB,MECKLENBURG ROAD,PODUNK ROAD,0,N,S22-10215,TUESDAY,09:46,09,77,5553
483,08/10/2022,S8S112FR8BQ6,UPPER CREEK ROAD,,2,N,S22-10256,THURSDAY,11:41,27,04,5552
484,08/11/2022,S8S116FRDZ4Q,SLATERVILLE ROAD,,0,N,S22-010318,THURSDAY,20:59,61,77,5550
485,08/11/2022,S81203FRDDRD,DANBY ROAD,COMFORT ROAD,0,N,S22-10314,THURSDAY,17:39,09,77,5551
486,08/11/2022,S8S107FRC2F1,MAIN STREET,,0,N,S22-10297,THURSDAY,07:59,61,77,5552
487,08/11/2022,S8S107FRDBR9,TRUMANSBURG ROAD,DRIVEWAY 1301 TRUMANSBURG ROAD,0,N,S22-10310,THURSDAY,17:24,07,69,5555
488,08/11/2022,S8S120FRC098,PERRY CITY ROAD,,0,N,S22-10296,THURSDAY,07:15,61,77,5558
489,08/12/2022,S8S112FRG69W,RIDGE ROAD,,0,N,S22-10326,FRIDAY,07:20,61,77,5556
490,08/13/2022,S8S112FRKX1V,NORTH TRIPHAMMER ROAD,NORTH TRIPHAMMER ROAD,1,N,S22-10373,SATURDAY,11:19,17,77,5556
491,08/13/2022,S8S116FRLRH4,VAN DORN ROAD SOUTH,,1,N,S22-10384,SATURDAY,17:06,04,77,5553
492,08/13/2022,S8S111FRL5TB,STATE HIGHWAY 79,,0,N,S22-10375,SATURDAY,13:08,21,77,5553
493,08/13/2022,S8S114FRKZBB,WHITE CHURCH ROAD,VALLEY ROAD,1,N,S22-10374,SATURDAY,11:23,07,77,5550
494,08/13/2022,S8S116FRLXTS,CONNECTICUT HILL ROAD,,0,N,S22-10385,SATURDAY,18:48,19,77,5553
495,08/14/2022,S8S113FRQ7G7,DRYDEN ROAD,,0,N,S22-10414,SUNDAY,19:28,61,77,5552
496,08/15/2022,S8S112FRSDLL,RAMP,,0,N,S22-10436,MONDAY,11:57,04,77,5523
497,08/15/2022,S8S114FRTKDK,MILLARD HILL ROAD,,0,N,S22-10453,MONDAY,20:50,61,77,5557
498,08/16/2022,S8S119FRVB9W,MAIN STREET,,0,N,S22-10457,TUESDAY,01:48,08,77,5553
499,08/16/2022,S8S114FRVRW5,ELLIS HOLLOW CREEK ROAD,,0,N,S22-10459,TUESDAY,05:20,03,77,5552
500,08/17/2022,S8S116FS173C,NORTH TRIPHAMMER ROAD,N TRIPHAMMER RD AND ENTRANCEDR,1,N,S22-10508,WEDNESDAY,14:47,07,77,5523
501,08/17/2022,S8S114FS07BB,EAST SHORE DRIVE,,0,N,S22-10494,WEDNESDAY,07:32,61,77,5523
502,08/17/2022,S80K91FS1KD1,DRYDEN ROAD,,1,N,S22-10515,WEDNESDAY,17:44,09,77,5552
503,08/17/2022,S8S116FS1GVH,STATE HIGHWAY 96,,0,N,S22-10513,WEDNESDAY,16:55,09,77,5558
504,08/18/2022,S8S110FS5F9B,PERU SOUTH LANSING ROAD,,0,N,S22-10579,THURSDAY,22:36,61,77,5552
505,08/19/2022,S8S111FS7J8M,WEST DANBY ROAD,SHORT ROAD,0,N,S22-10610,FRIDAY,13:56,61,77,5551
506,08/19/2022,S8S110FS886C,RIDGE ROAD,,0,N,S22-10620,FRIDAY,19:46,21,77,5556
507,08/19/2022,S8S107FS639C,COBB STREET,,0,N,S22-10591,FRIDAY,03:36,61,77,5554
508,08/19/2022,S8S113FS70C7,NY STATE RT 79,,0,N,S22-10600,FRIDAY,10:00,09,99,5550
509,08/19/2022,S8S111FS6VHP,PERRY CITY ROAD,TRUMANSBURG ROAD,1,N,S22-10598,FRIDAY,09:23,09,77,5558
510,08/19/2022,S8S116FS866V,VANKIRK ROAD,IRISH HILL ROAD,0,N,S22-10617,FRIDAY,17:58,18,77,5557
511,08/19/2022,S8S107FS6TVL,RIDGE ROAD,BRICKYARD ROAD,0,N,S22-10599,SATURDAY,09:21,61,77,5556
512,08/19/2022,S8S110FS7ZM0,AUBURN ROAD,,0,N,S22-10615,FRIDAY,17:32,61,77,5556
513,08/22/2022,S8S107FSJJN5,NORTH TRIPHAMMER ROAD,CRAFT RD,2,N,S22-10700,MONDAY,10:04,09,99,5523
514,08/22/2022,S8S110FSKRL9,AUBURN ROAD,,0,N,S22-10717,MONDAY,19:04,61,77,5556
515,08/23/2022,S8S108FSMFT9,RAILROAD STREET,,1,N,S22-10725,TUESDAY,07:19,08,77,5521
516,08/23/2022,S8S108FSN469,CORTLAND ROAD,CORTLAND ROAD AND BAHAR DR,0,N,S22-10732,TUESDAY,12:28,09,77,5552
517,08/23/2022,S81203FSP38C,GOODMAN ROAD,,0,N,S22-10747,TUESDAY,20:07,61,77,5556
518,08/24/2022,S8S109FSS900,WEST DRYDEN ROAD,,0,N,S22-10797,WEDNESDAY,19:42,61,77,5552
519,08/24/2022,S8S115FSRWMN,TRUMANSBURG ROAD,,0,N,S22-10789,WEDNESDAY,17:09,04,09,5555
520,08/24/2022,S8S116FSR3HW,AUBURN ROAD,,3,N,S22-10774,WEDNESDAY,10:45,07,77,5556
521,08/25/2022,S8S116FSWQBR,BOSTWICK ROAD,GOODWIN DRIVE,0,N,S22-10854,THURSDAY,21:52,15,77,5553
522,08/25/2022,S8S110FSW4HD,2250 N TRIPHAMMER ROAD PARKING,,0,N,S22-10829,THURSDAY,17:22,07,69,5523
523,08/26/2022,S8SGT2FT3FKV,STATE HIGHWAY 13,,0,N,S22-10920,FRIDAY,23:50,02,13,5552
524,08/26/2022,S8S116FT0FSK,PODUNK ROAD,,0,N,S22-10903,FRIDAY,17:59,04,77,5558
525,08/27/2022,S8S115FT3B94,NELSON ROAD,E MILLER ROAD,3,N,S22-10944,SATURDAY,15:40,17,77,5551
526,08/27/2022,S8S109FT1C30,CORTLAND ROAD,,0,N,S22-10923,SATURDAY,01:10,61,77,5554
527,08/27/2022,S8S111FT2PWZ,MAIN STREET,GROTON AVE,0,N,S22-10935,SATURDAY,10:23,19,18,5521
528,08/29/2022,S8S104FT955T,RIDGE ROAD,BEACH ROAD,0,N,S22-11039,MONDAY,11:31,08,77,5556
529,08/29/2022,S8S108FT8PT1,GROTON ROAD,,0,N,S22-11028,MONDAY,08:03,61,77,5552
530,08/30/2022,S8S112FTFSPL,EAST KING ROAD,SOUTHWOODS DRIVE,0,N,S22-11101,TUESDAY,22:11,07,77,5555
531,08/30/2022,S8S105FTFLP8,PINE TREE ROAD,HONNESS LANE,0,N,S22-11095,TUESDAY,20:49,61,77,5555
532,08/31/2022,S8S116FTJ3SD,WEST KING ROAD,STONEQUARRY RD AND WEST KING R,0,N,S22-11124,WEDNESDAY,15:43,07,77,5555
533,08/31/2022,S80K91FTJFTD,AUBURN ROAD,,0,N,S22-11132,WEDNESDAY,18:03,04,77,5556
534,09/01/2022,S8S109FTN01L,PODUNK ROAD,,0,N,S22-11187,THURSDAY,20:41,61,77,5553
535,09/01/2022,S8S111FTLPL9,BARNES HILL ROAD,,0,N,S22-11162,THURSDAY,10:49,61,77,5557
536,09/02/2022,S8S110FTQKX8,WARREN ROAD,WARREN ROAD AND FARRELL ROAD,0,N,S22-11245,FRIDAY,16:14,07,18,5556
537,09/03/2022,S8DEP3FTS7F6,BROOKTONDALE ROAD,SLATERVILLE ROAD,0,N,S22-11270,SATURDAY,02:34,02,19,5552
538,09/03/2022,S8S113FTSFS0,ELMIRA ROAD,,0,N,S22-11274,SATURDAY,06:15,61,77,5557
539,09/03/2022,S8S112FTSPWC,CORTLAND ROAD,,0,N,S22-11278,SATURDAY,08:37,61,99,5554
540,09/03/2022,S8S105FTV97L,ELMIRA ROAD,,0,N,S22-11299,SATURDAY,20:10,17,04,5555
541,09/03/2022,S8S108FTT9G2,MECKLENBURG ROAD,APPLEGATE ROAD NORTH,0,N,S22-11286,SATURDAY,12:45,61,77,5553
542,09/03/2022,S8S112FTTD08,NORTH TRIPHAMMER ROAD,,0,N,S22-11288,SATURDAY,13:30,04,77,5523
543,09/04/2022,S8S114FV05MM,LAKE STREET,DORSEY HILL,0,N,S22-11333,SUNDAY,23:30,04,19,5524
544,09/04/2022,S8S110FV06SZ,RIDGE ROAD,,3,N,S22-11332,SUNDAY,23:42,02,99,5556
545,09/04/2022,S8S115FTZ7DR,COUNTY HOSPITAL RD,,0,N,S22-11325,SUNDAY,17:53,03,77,5555
546,09/04/2022,S8S115FTXJWT,TAUGHANNOCK BOULEVARD,,1,N,S22-11321,SUNDAY,12:38,07,04,5555
547,09/05/2022,S8S113FV1X50,SLATERVILLE ROAD,BURNS ROAD,0,N,S22-11347,MONDAY,14:17,42,66,5555
548,09/05/2022,S8S120FV1N3P,STONE QUARRY ROAD,STONE QUARRY ROAD,0,N,S22-11344,MONDAY,12:20,18,77,5555
549,09/06/2022,S8S109FV615T,EAST SHORE DRIVE,,0,N,S22-11401,TUESDAY,21:08,61,77,5556
550,09/06/2022,S8S115FV6063,SANDBANK ROAD,,0,N,S22-11400,TUESDAY,20:18,64,77,5555
551,09/07/2022,S8S111FV7HX1,MAIN STREET,,0,N,S22-11421,WEDNESDAY,08:04,09,77,5552
552,09/08/2022,S8S118FVCRTC,PERRY CITY ROAD,DUBOIS ROAD,0,N,S22-11473,THURSDAY,16:00,07,77,5558
553,09/09/2022,S8S114FVFSD4,WOOD ROAD,SHELDON RD,0,N,S22-11501,FRIDAY,07:09,09,04,5552
554,09/09/2022,S8S110FVHMZV,DUTCH MILL ROAD,,0,N,S2211526,FRIDAY,21:20,61,77,5556
555,09/10/2022,S8S112FVKMWS,AUBURN ROAD,GREEN ROAD,0,N,S22-11544,SATURDAY,12:28,61,77,5556
556,09/10/2022,S8S111FVKBGX,MAIN STREET,GROTON AVE,0,N,S22-11542,SATURDAY,09:22,20,77,5521
557,09/11/2022,S8S112FVPQDN,GULF ROAD,,0,N,S2211581,SUNDAY,19:36,19,04,5556
558,09/11/2022,S8S112FVNTP3,AUBURN ROAD,NORTH TRIPHAMMER ROAD,0,N,S22-11572,SUNDAY,12:26,04,09,5556
559,09/11/2022,S8S109FVPCC7,PARKING LOT,,0,N,S22-11578,SUNDAY,16:08,03,77,5523
560,09/12/2022,S8S118FVT3DN,STATE HIGHWAY 96,,0,N,S22-11617,MONDAY,19:38,61,77,5558
561,09/12/2022,S8S120FVRDV5,WEST DANBY ROAD,,0,N,S22-11594,MONDAY,07:00,61,77,5557
562,09/13/2022,S8DEP1FVV30F,2372 SPENCER ROAD,,0,N,S22-11625,TUESDAY,00:48,02,04,5551
563,09/14/2022,S8S110FW1HCR,RIDGE ROAD,,0,N,S22-11708,WEDNESDAY,20:01,61,77,5556
564,09/14/2022,S8S114FVXSMB,ELLIS HOLLOW CREEK ROAD,,0,N,S22-11667,WEDNESDAY,23:45,61,77,5552
565,09/14/2022,S8S110FW0Z0Z,RIDGE ROAD,,0,N,S22-11699,WEDNESDAY,15:41,61,77,5556
566,09/15/2022,S8S120FW37QK,MECKLENBURG ROAD,,0,N,S22-11721,THURSDAY,09:12,18,77,5555
567,09/15/2022,S8S108FW388G,NORTH STREET,,0,N,S22-11723,THURSDAY,09:15,09,77,5552
568,09/16/2022,S8S108FW69HD,HAYTS ROAD,,0,N,S22-11779,FRIDAY,07:38,61,77,5553
569,09/16/2022,S8S119FW8G85,BOSTWICK ROAD,,0,N,S22-11818,FRIDAY,23:54,04,99,5555
570,09/17/2022,S81203FW9WQK,ELM STREET EXT,,0,N,S22-11832,SATURDAY,11:18,04,77,5555
571,09/18/2022,S8DEP3FWCTXV,GROTON ROAD,,1,N,S22-11848,SUNDAY,00:03,02,19,5552
572,09/18/2022,S8S108FWFBR4,LEXINGTON DRIVE,,0,N,S22-11863,SUNDAY,12:33,04,77,5555
573,09/19/2022,S8S116FWK842,TRUMANSBURG ROAD,,1,N,S22-11905,MONDAY,17:46,77,77,5555
574,09/19/2022,S8S119FWHMF4,TAUGHANNOCK BOULEVARD,,0,N,S22-11885,MONDAY,06:20,61,77,5558
575,09/20/2022,S8S114FWP588,SEVEN MILE DRIVE,,0,N,S22-11954,TUESDAY,23:22,61,77,5555
576,09/20/2022,S8S120FWM49H,ELMIRA ROAD,,0,N,S22-11921,TUESDAY,08:10,13,77,5557
577,09/21/2022,S8S118FWQJ4B,BURDICK HILL ROAD,EAST SHORE,0,N,S22-11970,WEDNESDAY,09:40,04,77,5556
578,09/21/2022,S8S106FWRGW5,CANDLEWYCK PARK,,0,N,S22-11989,WEDNESDAY,16:42,03,77,5555
579,09/21/2022,S8S106FWRWT8,ELMIRA ROAD,,0,N,S22-11998,WEDNESDAY,19:44,61,77,5557
580,09/22/2022,S8S111FWV6MW,ENFIELD MAIN ROAD,,0,N,S22-12042,THURSDAY,13:22,09,77,5553
581,09/22/2022,S8S111FWTSPQ,BOSTWICK ROAD,SHEFFIELD ROAD,0,N,S22-12029,THURSDAY,10:15,04,77,5553
582,09/23/2022,S8S110FWXJKC,WEST DANBY ROAD,,0,N,S22-12066,FRIDAY,06:41,61,77,5551
583,09/24/2022,S8S108FX1WNT,SHAFFER ROAD,,0,N,S22-12131,SATURDAY,07:59,61,77,5557
584,09/24/2022,S8S108FX1ST8,RACHEL CARSON WAY,,0,N,S22-12129,SATURDAY,07:24,61,77,5555
585,09/25/2022,S8S115FX4WRB,IRISH SETTLEMENT RD,,0,N,S22-12172,SUNDAY,06:27,64,69,5552
586,09/25/2022,S8S108FX5DXZ,DRYDEN ROAD,GEORGE ROAD,0,N,S22-12176,SUNDAY,10:15,07,77,5552
587,09/26/2022,S8S116FX8NVV,GASLIGHT VILLAGE,,0,N,S22-12222,MONDAY,11:05,03,77,5523
588,09/27/2022,S8S112FXCXB5,PARKING LOT,,0,N,S22-12291,TUESDAY,11:02,04,77,5523
589,09/27/2022,S8S110FXC9F8,BROWN ROAD,,0,N,S22-12269,TUESDAY,06:38,61,77,5554
590,09/27/2022,S8S109FXCQ9W,AUBURN ROAD,,0,N,S22-12279,TUESDAY,08:10,99,99,5556
591,09/28/2022,S8S119FXJRRN,ELLIS HOLLOW ROAD,,0,N,S22-12387,THURSDAY,23:37,61,77,5552
592,09/28/2022,S8S108FXFM6P,CORTLAND ROAD,GULF HILL RD,0,N,S22-12338,WEDNESDAY,00:03,61,77,5552
593,09/28/2022,S8S109FXJF00,PERU ROAD,,0,N,S22-12383,WEDNESDAY,20:56,47,77,5554
594,09/29/2022,S8S113FXK8ZV,BLACK OAK ROAD,WEATHERBY ROAD,0,N,S22-12404,THURSDAY,03:23,61,77,5553
595,09/29/2022,S8S108FXL6ZP,BOSTWICK ROAD,,0,N,S22-12421,THURSDAY,10:17,04,77,5555
596,09/30/2022,S8S110FXQJQ6,RIDGE ROAD,,0,N,S22-12524,FRIDAY,19:00,61,77,5556
597,10/01/2022,S8DEP3FXS1F1,CAYUGA HEIGHTS ROAD,,0,N,S22-12552,SATURDAY,03:46,02,77,5523
598,10/01/2022,S8S109FXSTCC,58 SOUTHWORTH ROAD,,0,N,S22-12565,SATURDAY,11:43,04,77,5552
599,10/01/2022,S8S115FXTXBM,DANBY ROAD,,0,N,S22-12583,SATURDAY,20:02,61,77,5551
600,10/02/2022,S8S108FXXVSZ,SHEFFIELD ROAD,,0,N,S22-12639,SUNDAY,18:27,61,77,5553
601,10/03/2022,S8S106FXZVGQ,PERUVILLE ROAD,,0,N,S22-12666,MONDAY,01:54,61,77,5552
602,10/04/2022,S8S116FZ5V1F,TAUGHANNOCK BOULEVARD,,1,N,S22-12780,TUESDAY,22:29,04,77,5558
603,10/04/2022,S8S112FZ5350,CORTLAND ROAD,DUTCHER ROAD,0,N,S22-12760,TUESDAY,16:59,13,77,5552
604,10/05/2022,S8S112FZ71DB,WARREN ROAD,,0,N,S22-12797,WEDNESDAY,07:51,61,77,5523
605,10/05/2022,S8S116FZ8HPW,101 HARRIS B DATES DR,,0,N,S22-12824,WEDNESDAY,16:58,03,99,5555
606,10/05/2022,S8S109FZ88Q7,NORTH TRIPHAMMER ROAD,AIDAN'S LANE,0,N,S22-12820,WEDNESDAY,16:53,09,77,5556
607,10/05/2022,S80K91FZ954W,NORTH ROAD,,0,N,S22-12842,WEDNESDAY,22:55,13,17,5552
608,10/05/2022,S8S112FZ7M8N,NORTH TRIPHAMMER ROAD,PYRAMID DRIVE,0,N,S22-12810,WEDNESDAY,12:33,04,77,5556
609,10/05/2022,S8S109FZ72JM,MECKLENBURG ROAD,,0,N,S22-12798,WEDNESDAY,07:50,09,61,5555
610,10/06/2022,S8S113FZB9JT,DRYDEN ROAD,,0,N,S22-12857,THURSDAY,07:53,77,77,5552
611,10/06/2022,S8S111FZB4FC,ADAMS ROAD,,0,N,S22-12854,THURSDAY,06:37,61,77,5557
612,10/06/2022,S8S112FZB94M,SALT ROAD,,0,N,S22-12856,THURSDAY,07:44,61,77,5554
613,10/06/2022,S8S110FZ9G5W,ELMIRA ROAD,,0,N,S22-12848,THURSDAY,01:07,08,19,5557
