,Count Location,FROM,TO,AADT,lat,long,slat,slong,flat,flong
164,Park Rd,Cliff St,End,322,42.4452652,-76.5156765,42.4476199,-76.5167614,42.4429105,-76.5145916
165,Park Rd,Enfield Falls Rd,Woodward Rd,204,42.3503851,-76.5363517,42.4077741,-76.5989986,42.2929961,-76.4737048
166,Perry City Rd,Halseyville Rd,Rt 96,"1,707",42.49518395,-76.6149397,42.4945789,-76.633844,42.49578899999999,-76.59603539999999
167,Peruville Rd,Rt 38,Fall Creek Rd,"3,118",42.5489356,-76.32774065000001,42.5482062,-76.3616439,42.549665,-76.2938374
168,Pinckney Rd,Rt 13,Etna Rd,927,42.47871685,-76.4069277,42.4702146,-76.4042387,42.4872191,-76.4096167
169,Pine Tree Rd,Rt 79,Ellis Hollow Rd,"7,264",42.42932755,-76.46304465,42.4223699,-76.4615677,42.4362852,-76.4645216
170,Pine Tree Rd,Ellis Hollow Rd,Rt 366,"6,684",42.4399754,-76.4674548,42.4362852,-76.4645216,42.4436656,-76.470388
171,Plain St,Elmira Rd,Titus Ave N,"1,518",42.43225255,-76.5035709,42.4306551,-76.5034958,42.43385,-76.503646
172,Plain St,Buffalo St,Court St,"2,366",42.441805450000004,-76.50404895,42.441162,-76.5040159,42.4424489,-76.504082
173,Plain St N,Buffalo St W,Seneca St W,"1,829",42.4407063,-76.50399525,42.441162,-76.5040159,42.4402506,-76.50397459999999
174,Plain St S,Green St,Buffalo St,"1,866",42.43981865,-76.50394854999999,42.4384753,-76.5038812,42.441162,-76.5040159
175,Plain St S,Titus Ave N,Green St,"1,382",42.43616265,-76.5037636,42.43385,-76.503646,42.4384753,-76.5038812
176,Pleasant Grove Rd,Forest Home Dr,Cayuga Hgts V/L,"6,410",42.4564319,-76.4783432,42.4533467,-76.4700797,42.4595171,-76.4866067
177,Pleseant Grove Rd,Hanshaw Rd,Cayuga Hgts V/L,"4,582",42.4640895,-76.4823972,42.4686619,-76.47818769999999,42.4595171,-76.4866067
178,Podunk Rd,Perry City Rd,Waterburg Rd,584,42.508314150000004,-76.6577885,42.4939113,-76.6529401,42.522717,-76.6626369
179,Portland Point Rd,Cement Plant Gate,Rt 34B,656,42.5357562,-76.5233673,42.5303959,-76.5281349,42.5411165,-76.51859970000001
180,Red Mill Rd,Malloryville Rd,Fall Creek Rd,77,42.532707900000005,-76.32192645,42.537849,-76.32265,42.5275668,-76.3212029
181,Ringwood Rd,Ellis Hollow Creek Rd,Midline Rd,363,42.442831250000005,-76.37328495,42.4323498,-76.38687329999999,42.45331270000001,-76.35969659999999
182,Ringwood Rd,Pleasant Hollow Rd,Rt 13,686,42.472159250000004,-76.35432004999998,42.4592485,-76.35378089999999,42.48507,-76.35485919999999
183,Count Location,FROM,TO,AADT,42.4439614,-76.5018807,42.4439614,-76.5018807,42.4439614,-76.5018807
184,Ringwood Rd,Midline Rd,Pleasant Hollow Rd,446,42.45628060000001,-76.35673874999999,42.45331270000001,-76.35969659999999,42.4592485,-76.35378089999999
185,Rt 13,Hanshaw Rd,Start 13 366 OLAP,"14,369",42.47319695,-76.42020919999999,42.4776703,-76.4312212,42.4687236,-76.4091972
186,Rt 13,End 13 366 OLAP,Triphammer Rd,"19,041",42.45674004999999,-76.49094745,42.4589539,-76.50040899999999,42.4545262,-76.4814859
187,Rt 13,Triphammer Rd,Warren Rd,"14,728",42.46835299999999,-76.4744063,42.4545262,-76.4814859,42.4821798,-76.4673267
188,Rt 13 - Cortland Rd,End 13 38 OLAP,County Line,"9,994",42.4439614,-76.5018807,42.4439614,-76.5018807,42.4439614,-76.5018807
189,Rt 13 - Dryden Rd,Start 13 366 OLAP,End 13 366 OLAP,"14,651",42.45485294999999,-76.44403795,42.4687236,-76.4091972,42.44098229999999,-76.4788787
190,Rt 13 - Dryden Rd,End 13 34 OLAP,Start 13 38 OLAP,"9,717",42.44247184999999,-76.4903797,42.44098229999999,-76.4788787,42.4439614,-76.5018807
191,Rt 13 - Elmira Rd,Ithaca C/L,Rt 96B,"20,591",42.425708150000006,-76.49943705,42.4199229,-76.4969344,42.4314934,-76.5019397
192,Rt 13 - Elmira Rd,Rt 13A,Ithaca C/L,"17,013",42.4172255,-76.51419775,42.4145281,-76.5314611,42.4199229,-76.4969344
