,Prd Date,Case Number,road,intersection,number injured,fatal indicator,local codes,Day of Week,Time,"Contributing Factor Primary
",Contributing Factor Secondary,CTV,lat,long,seconds_since,month
74,01/29/2022,S8S119F2Q2W8,RIDGE ROAD,,0,N,S22-01326,SATURDAY,21:29,61.0,77.0,5556,42.5735549,-76.5781092,77340.0,1
75,01/29/2022,S8S108F2NLN2,DANBY ROAD,,0,N,S22-01306,Saturday,10:11,9.0,77.0,5551,42.3587467,-76.4833869,36660.0,1
76,01/30/2022,S8S119F2SV8M,COLD SPRINGS ROAD,,0,N,S22-01357,SUNDAY,18:34,61.0,61.0,5558,42.5169228,-76.6374862,66840.0,1
77,01/30/2022,S81203F2SV4G,STATE HIGHWAY 13,,1,N,S22-01361,Sunday,18:19,64.0,13.0,5523,42.4290176,-76.5078603,65940.0,1
78,01/31/2022,S81203F2X1XB,HALSEYVILLE ROAD,,0,N,S22-01416,MONDAY,18:01,61.0,77.0,5558,42.4893081,-76.6335186,64860.0,1
79,01/31/2022,S8S113F2VPH1,SLATERVILLE ROAD,FULLER LANE,0,N,S22-01394,Monday,08:02,3.0,77.0,5550,42.3960325,-76.3463743,28920.0,1
80,02/01/2022,S8S113F30NBT,DRYDEN ROAD,STATE ROUTE 366 (DRYDEN ROAD),2,N,S22-01459,Tuesday,13:48,7.0,77.0,5552,42.4763411,-76.3871935,49680.0,2
81,02/01/2022,S8S118F318H3,TROY ROAD,,0,N,S22-01466,TUESDAY,18:16,61.0,77.0,5551,42.3925641,-76.472746,65760.0,2
82,02/01/2022,S8S111F31B89,FALL CREEK ROAD,,0,N,S22-01464,Tuesday,18:01,13.0,8.0,5521,42.5286482,-76.3187472,64860.0,2
83,02/02/2022,S80K91F32VFV,MILLARD HILL ROAD,,0,N,S22-01487,WEDNESDAY,06:27,61.0,77.0,5557,42.385081,-76.5964669,23220.0,2
84,02/02/2022,S8S116F33NTJ,NORTH STREET,ELLIS DRIVE,0,N,S22-01510,Wednesday,12:29,7.0,7.0,5552,42.4996994,-76.30048,44940.0,2
85,02/02/2022,S8S111F34RX9,TURKEY HILL ROAD,,0,N,S22-01523,WEDNESDAY,20:37,61.0,77.0,5552,42.4454301,-76.4290626,74220.0,2
86,02/02/2022,S8S119F34FQ2,RIDGE ROAD,,0,N,S22-01521,WEDNESDAY,18:26,61.0,77.0,5556,42.5735549,-76.5781092,66360.0,2
87,02/02/2022,S8S113F331H4,ELMIRA ROAD,TRUMBULLS CORNERS ROAD,0,N,S22-01488,Wednesday,07:22,7.0,77.0,5557,42.3861531,-76.6326935,26520.0,2
88,02/03/2022,S8S112F37776,CATHERWOOD ROAD,THE LOOP RD,0,N,S22-01553,Thursday,14:57,66.0,77.0,5523,42.4835509,-76.488883,53820.0,2
89,02/03/2022,S8S111F37G4S,WHITE CHURCH ROAD,,0,N,S22-01558,THURSDAY,16:48,66.0,77.0,5550,42.34702,-76.3890084,60480.0,2
90,02/03/2022,S8S111F379LV,WHITE CHURCH ROAD,CAROLINE DEPOT RD,0,N,S22-01554,THURSDAY,14:40,26.0,13.0,5550,42.3697377,-76.4053929,52800.0,2
91,02/04/2022,S8S107F3B7V7,PARKING LOT 806 DRYDEN RD,,0,N,S22-01578,Friday,13:26,3.0,77.0,5552,42.4704369,-76.4034517,48360.0,2
92,02/05/2022,S8S107F3G4SG,DANBY ROAD,,0,N,S22-01622,SATURDAY,19:03,61.0,77.0,5555,42.3587467,-76.4833869,68580.0,2
93,02/05/2022,S8S106F3DH3J,SLATERVILLE ROAD,,0,N,S22-01605,SATURDAY,06:14,26.0,77.0,5552,42.3947362,-76.3769443,22440.0,2
94,02/05/2022,S8DEP2F3RHHC,DANBY ROAD,,0,N,S22-01742,SATURDAY,19:03,61.0,77.0,5555,42.3587467,-76.4833869,68580.0,2
95,02/05/2022,S8DEP3F7WN57,CORTLAND ROAD,BAHAR DRIVE,0,N,S22-01613,Saturday,12:41,9.0,77.0,5552,42.5049625,-76.2882425,45660.0,2
96,02/07/2022,S8S114F3NJS4,ELLIS HOLLOW ROAD,,0,N,S22-01717,MONDAY,18:49,61.0,77.0,5552,42.427384,-76.4116156,67740.0,2
97,02/07/2022,S8S113F3LVXW,TRUMANSBURG ROAD,,1,N,S22-01693,Monday,06:18,9.0,77.0,5555,42.4914674,-76.5883927,22680.0,2
98,02/07/2022,S8S114F3NG43,PERU ROAD,,0,N,S22-01714,MONDAY,18:16,61.0,77.0,5554,42.5665431,-76.3647589,65760.0,2
99,02/07/2022,S8S114F3N5HT,DRYDEN ROAD,,1,N,S22-01710,Monday,15:44,9.0,7.0,5552,42.4704369,-76.4034517,56640.0,2
100,02/07/2022,S8S106F3LS3N,STATE HIGHWAY 34,,0,N,S22-01692,MONDAY,05:32,61.0,77.0,5556,42.4435495,-76.5106326,19920.0,2
101,02/08/2022,S8S115F3RPT9,ASBURY ROAD,,0,N,S22-01756,TUESDAY,06:46,61.0,77.0,5556,42.5248383,-76.4704781,24360.0,2
102,02/08/2022,S8S114F3RK1P,STATE HIGHWAY 96,HALSEYVILLE ROAD,0,N,S22-01748,Tuesday,17:46,7.0,77.0,5558,42.4893081,-76.6335186,63960.0,2
103,02/08/2022,S8S114F3RSB6,STATE HIGHWAY 227,,0,N,S22-01754,TUESDAY,18:04,25.0,61.0,5558,42.5188688,-76.6873564,65040.0,2
104,02/08/2022,S80K91F3PMCW,CLARK STREET,,0,N,S22-01732,Tuesday,01:57,27.0,77.0,5522,42.6072743,-76.3275886,7020.0,2
105,02/09/2022,S8S116F3V06W,DRYDEN ROAD,GEORGE ROAD,0,N,S22-01780,Wednesday,11:29,7.0,77.0,5552,42.4953511,-76.3286602,41340.0,2
106,02/09/2022,S8S116F3TP32,CORTLAND ROAD,,1,N,S22-01776,Wednesday,09:16,9.0,77.0,5552,42.5928027,-76.3099663,33360.0,2
107,02/09/2022,S8S114F3VM3K,TRUMANSBURG ROAD,HARRIS B DATES DR,0,N,S22-01790,Wednesday,16:27,7.0,13.0,5555,42.4706755,-76.539689,59220.0,2
108,02/09/2022,S8S116F3TJ68,DRYDEN ROAD,,0,N,S22-01775,Wednesday,08:21,9.0,77.0,5552,42.4704369,-76.4034517,30060.0,2
109,02/10/2022,S8S115F3WM0M,DANBY ROAD,,0,N,S22-01802,THURSDAY,23:49,61.0,77.0,5551,42.3587467,-76.4833869,85740.0,2
110,02/10/2022,S8S112F402CP,RIDGE ROAD,,0,N,S22-01861,THURSDAY,18:11,61.0,77.0,5556,42.5735549,-76.5781092,65460.0,2
111,02/10/2022,S8S111F3Z5N5,IRISH SETTLEMENT ROAD,FERGUSON RD,0,N,S22-01833,THURSDAY,11:35,61.0,77.0,5552,42.4822951,-76.3207229,41700.0,2
112,02/11/2022,S81203F43FCH,THE LOOP RD,THE LOOP RD,0,N,S22-01926,Friday,19:33,9.0,77.0,5523,42.4835509,-76.488883,70380.0,2
113,02/11/2022,S8S115F41S9H,DANBY ROAD,,0,N,S22-01890,FRIDAY,06:50,61.0,77.0,5551,42.3587467,-76.4833869,24600.0,2
114,02/11/2022,S8S107F43H0C,RIDGE ROAD,,0,N,S22-01928,FRIDAY,20:06,61.0,77.0,5556,42.5735549,-76.5781092,72360.0,2
115,02/11/2022,S81203F4385J,STATE HIGHWAY 13,,0,N,S22-01920,FRIDAY,18:19,61.0,77.0,5552,42.4290176,-76.5078603,65940.0,2
116,02/12/2022,S8S107F46PNL,RIDGE ROAD,,0,N,S22-02011,SATURDAY,20:15,61.0,77.0,5556,42.5735549,-76.5781092,72900.0,2
117,02/12/2022,S8S112F46K2S,MECKLENBURG ROAD,,0,N,S22-02002,SATURDAY,18:59,61.0,77.0,5555,42.4516637,-76.608651,68340.0,2
118,02/13/2022,S8S111F47H8V,RIDGE ROAD,JERRY SMITH RD,0,N,S22-02037,SUNDAY,01:59,13.0,19.0,5556,42.594116,-76.575085,7140.0,2
119,02/13/2022,S8S112F49PWS,COMFORT ROAD,,0,N,S22-02065,SUNDAY,18:44,61.0,77.0,5551,42.3598619,-76.5062134,67440.0,2
120,02/14/2022,S8S117F4CFT7,RTE 34/96,THOMAS RD,0,N,S22-02115,MONDAY,07:27,61.0,77.0,5557,42.4100992,-76.380032,26820.0,2
121,02/14/2022,S8S114F4D2VL,PERUVILLE ROAD,,0,N,S22-02119,MONDAY,09:38,19.0,66.0,5556,42.5473782,-76.3951711,34680.0,2
122,02/14/2022,S8S115F4DLLV,VAN KIRK ROAD,,0,N,S22-02126,MONDAY,16:10,61.0,77.0,5557,42.3157631,-76.6008443,58200.0,2
123,02/15/2022,S8S120F4JR0L,EAST SHORE DRIVE,,0,N,S22-02191,TUESDAY,23:29,61.0,77.0,5556,42.4977529,-76.5098078,84540.0,2
124,02/15/2022,S8S114F4GHDC,VANKIRK ROAD,,0,N,S22-02156,TUESDAY,06:14,61.0,77.0,5557,42.3157631,-76.6008443,22440.0,2
125,02/15/2022,S8S114F4HTKP,CATHERWOOD ROAD,,0,N,S21-02179,Tuesday,16:35,7.0,77.0,5523,42.4837477,-76.4868685,59700.0,2
126,02/15/2022,S8S113F4HJN2,DRIVEWAY,NORTH TRIPHAMMER ROAD,0,N,S22-02175,Tuesday,14:28,4.0,77.0,5523,42.5054774,-76.490818,52080.0,2
127,02/15/2022,S80K91F4GD9H,STATE HIGHWAY 13,,0,N,S22-02154,Tuesday,05:58,7.0,77.0,5552,42.4290176,-76.5078603,21480.0,2
128,02/15/2022,S8S113F4H45W,STATE HIGHWAY 13,,0,N,S22-02168,Tuesday,11:33,4.0,77.0,5523,42.4290176,-76.5078603,41580.0,2
129,02/15/2022,S8S115F4J93P,ELM STREET EXT,,0,N,S22-02183,TUESDAY,19:46,61.0,77.0,5555,42.5855167,-76.306947,71160.0,2
130,02/15/2022,S8S117F4H3HN,150 BOSTWICK RD,BOSTWICK RD,0,N,S22-02166,Tuesday,10:51,3.0,77.0,5555,42.4227499,-76.5793917,39060.0,2
131,02/16/2022,S8S115F4M77B,PINE TREE ROAD,PLAZA,0,N,S22-02228,Wednesday,17:36,7.0,99.0,5555,42.4575747,-76.5488232,63360.0,2
132,02/17/2022,S80K91F4N56W,STATE HIGHWAY 13,,0,N,S22-02243,THURSDAY,01:07,61.0,77.0,5552,42.4290176,-76.5078603,4020.0,2
